SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
106,DC:A6:32:33:E9:E9,2020-06-25 16:35:07.033199,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
107,DC:A6:32:33:E9:E9,2020-06-25 16:35:08.536954,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
108,DC:A6:32:33:E9:E9,2020-06-25 16:35:09.235651,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
109,DC:A6:32:33:E9:E9,2020-06-25 16:35:10.526935,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
110,DC:A6:32:33:E9:E9,2020-06-25 16:35:12.173179,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
111,DC:A6:32:33:E9:E9,2020-06-25 16:35:13.106929,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
112,DC:A6:32:33:E9:E9,2020-06-25 16:35:14.330080,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-29,0.19
113,DC:A6:32:33:E9:E9,2020-06-25 16:35:15.515678,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
114,DC:A6:32:33:E9:E9,2020-06-25 16:35:16.166925,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
115,DC:A6:32:33:E9:E9,2020-06-25 16:35:18.018181,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-34,0.19
116,DC:A6:32:33:E9:E9,2020-06-25 16:35:19.553803,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
117,DC:A6:32:33:E9:E9,2020-06-25 16:35:20.371283,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
118,DC:A6:32:33:E9:E9,2020-06-25 16:35:22.376947,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
119,DC:A6:32:33:E9:E9,2020-06-25 16:35:23.115673,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
120,DC:A6:32:33:E9:E9,2020-06-25 16:35:24.480669,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-34,0.19
121,DC:A6:32:33:E9:E9,2020-06-25 16:35:25.215672,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-34,0.19
122,DC:A6:32:33:E9:E9,2020-06-25 16:35:26.004435,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
123,DC:A6:32:33:E9:E9,2020-06-25 16:35:27.345700,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
